player,season,top10_home_games_played,top10_home_points_avg,top10_home_rebounds_avg,top10_home_assists_avg,top10_home_steals_avg,top10_home_blocks_avg,top10_home_turnovers_avg,top10_away_games_played,top10_away_points_avg,top10_away_rebounds_avg,top10_away_assists_avg,top10_away_steals_avg,top10_away_blocks_avg,top10_away_turnovers_avg,mid_home_games_played,mid_home_points_avg,mid_home_rebounds_avg,mid_home_assists_avg,mid_home_steals_avg,mid_home_blocks_avg,mid_home_turnovers_avg,mid_away_games_played,mid_away_points_avg,mid_away_rebounds_avg,mid_away_assists_avg,mid_away_steals_avg,mid_away_blocks_avg,mid_away_turnovers_avg,bottom10_home_games_played,bottom10_home_points_avg,bottom10_home_rebounds_avg,bottom10_home_assists_avg,bottom10_home_steals_avg,bottom10_home_blocks_avg,bottom10_home_turnovers_avg,bottom10_away_games_played,bottom10_away_points_avg,bottom10_away_rebounds_avg,bottom10_away_assists_avg,bottom10_away_steals_avg,bottom10_away_blocks_avg,bottom10_away_turnovers_avg
Cody Martin,2023-24,5.0,5.8,4.4,3.2,0.2,1.2,0.0,7.0,5.14,4.0,3.86,1.29,1.0,0.0,5.0,11.4,4.8,5.6,1.0,0.2,0.0,3.0,10.0,3.0,2.0,2.33,0.33,0.0,2.0,5.5,2.0,1.5,1.0,0.5,0.0,6.0,8.0,3.67,4.0,1.33,0.33,0.0
KJ Martin,2023-24,7.0,7.14,3.14,1.57,0.29,0.29,0.0,10.0,4.4,2.9,0.7,0.7,0.4,0.0,10.0,2.4,1.7,0.4,0.2,0.2,0.0,12.0,2.58,1.5,0.92,0.5,0.17,0.0,12.0,2.83,1.42,0.92,0.17,0.08,0.0,9.0,4.56,3.11,0.78,0.33,0.11,0.0
Garrison Mathews,2023-24,10.0,5.1,1.8,0.7,0.4,0.1,0.0,13.0,4.23,1.15,0.77,0.38,0.08,0.0,9.0,5.89,1.78,0.67,0.22,0.11,0.0,12.0,5.92,1.17,0.25,0.42,0.17,0.0,10.0,6.0,1.4,0.5,0.1,0.2,0.0,12.0,2.92,1.25,0.5,0.25,0.08,0.0
Bennedict Mathurin,2023-24,11.0,17.27,4.91,2.73,0.82,0.27,0.0,13.0,11.46,3.31,1.38,0.08,0.23,0.0,12.0,17.42,4.42,2.67,1.0,0.17,0.0,8.0,13.88,3.0,1.38,0.12,0.5,0.0,8.0,14.0,4.38,1.75,0.88,0.0,0.0,7.0,12.14,3.57,2.0,0.71,0.29,0.0
Tyrese Maxey,2023-24,11.0,25.45,4.45,6.36,1.27,0.45,0.0,10.0,25.4,3.7,6.7,0.8,0.5,0.0,15.0,28.2,3.8,5.93,0.67,0.8,0.0,13.0,24.31,3.15,5.38,1.31,0.46,0.0,10.0,23.8,3.2,6.6,0.8,0.2,0.0,11.0,27.73,3.82,6.45,1.09,0.27,0.0
Miles McBride,2023-24,11.0,6.82,1.18,1.0,0.91,0.0,0.0,14.0,9.57,1.29,1.93,0.57,0.21,0.0,13.0,9.15,1.77,2.15,0.77,0.15,0.0,11.0,8.45,1.55,1.55,0.55,0.0,0.0,10.0,10.1,2.0,2.0,0.8,0.1,0.0,9.0,4.44,1.0,1.22,0.89,0.11,0.0
CJ McCollum,2023-24,11.0,19.09,3.73,4.0,1.09,0.82,0.0,11.0,17.64,3.91,4.64,1.0,0.73,0.0,8.0,17.5,5.12,4.25,1.75,0.88,0.0,10.0,21.7,4.8,4.3,0.7,0.5,0.0,14.0,21.86,4.64,5.79,0.64,0.5,0.0,12.0,21.25,4.0,4.33,0.75,0.42,0.0
T.J. McConnell,2023-24,10.0,9.9,2.2,4.8,1.3,0.0,0.0,14.0,10.79,3.0,5.43,1.07,0.14,0.0,13.0,9.0,2.62,5.54,0.85,0.0,0.0,12.0,11.33,2.67,6.58,0.75,0.17,0.0,12.0,10.0,3.42,5.5,1.08,0.25,0.0,10.0,10.4,2.0,4.9,1.1,0.1,0.0
Jaden McDaniels,2023-24,9.0,11.67,3.44,1.22,0.89,1.33,0.0,11.0,10.27,2.82,1.18,0.36,0.64,0.0,12.0,10.33,3.25,1.75,0.83,0.75,0.0,10.0,10.3,3.6,2.0,1.0,0.5,0.0,14.0,9.36,2.5,1.57,0.86,0.43,0.0,16.0,11.31,3.25,0.88,1.19,0.19,0.0
Jalen McDaniels,2023-24,9.0,2.67,1.44,0.44,0.33,0.22,0.0,10.0,7.0,2.1,1.4,0.6,0.1,0.0,6.0,2.83,0.67,0.67,0.17,0.17,0.0,7.0,2.71,1.43,0.71,0.43,0.0,0.0,9.0,0.67,0.56,0.44,0.0,0.0,0.0,9.0,3.67,2.89,0.67,0.67,0.22,0.0
